Song,Singer,Year,Word,Token,Coda,F1_25,F2_25,Duration,Intensity,Pitch,Preceding_Segment,Coda_Type,Raising
Losing Grip,Avril,2002,out,aw,t,605.23,1923,0.22,74.556,162,No,stop,1
Losing Grip,Avril,2002,side,aj,d,700.6,1920.737,0.2,73.995,289.925,Yes,stop,0
Losing Grip,Avril,2002,beside,aj,d,869.629,1847,0.19,76.785,90.135,Yes,stop,0
Losing Grip,Avril,2002,out,aw,t,696.805,1924,0.16,79.928,77.599,No,stop,1
Losing Grip,Avril,2002,side,aj,d,856.451,1782.862,0.22,76.674,131.006,Yes,stop,0
Losing Grip,Avril,2002,around,aw,nd,950.68,1761.993,0.25,74.9,82.41,Yes,nasal,0
Losing Grip,Avril,2002,out,aw,t,914.6,1905,0.41,76.33,102.76,No,stop,1
Losing Grip,Avril,2002,out,aw,t,610.78,1822,0.31,78.065,88.67,No,stop,1
Losing Grip,Avril,2002,out,aw,t,906.12,1793.7,0.41,72.0936,173.46,No,stop,1
Losing Grip,Avril,2002,out,aw,t,915.05,2004,0.35,72.632,229.493,No,stop,1
Losing Grip,Avril,2002,eyes,aj,z,1078,1804.83,2.24,78.837,93.9593,No,fric,0
Losing Grip,Avril,2002,wide,aj,d,1030,1844.85,1.81,78.85,84.804,Yes,stop,0
Complicated,Avril,2002,out,aw,t,748.8,2017.8,0.37,78.606,86.7978,No,stop,1
Complicated,Avril,2002,like,aj,k,888.63,2120,0.27,76.753,87.29,Yes,stop,1
Complicated,Avril,2002,round,aw,nd,853.999,1898,0.1,79.4691,90,Yes,nasal,0
Complicated,Avril,2002,life,aj,f,1052.64,2302,0.1,82.455,799,Yes,fric,1
Complicated,Avril,2002,like,aj,k,844,1893,0.15,83.676,469.14,Yes,stop,1
Complicated,Avril,2002,life,aj,f,826.45,1933,0.23,75.598,76.7568,Yes,fric,1
Complicated,Avril,2002,strike,aj,k,610.592,1474,0.1,77.124,117.77,Yes,stop,1
Complicated,Avril,2002,pouse,aw,s,560.79,1844,0.24,75.598,76.24,Yes,fric,1
Complicated,Avril,2002,clouts,aw,ts,591.6,1652,0.24,80.851,75.39,Yes,stop,1
Complicated,Avril,2002,round,aw,nd,766,1914,0.11,81.1,91,Yes,nasal,0
Complicated,Avril,2002,out,aw,t,813.15,1859,0.29,80.402,87.47,No,stop,1
Together,Avril,2004,right,aj,t,924.154,1731,0.73,84.3767,802.22,Yes,stop,1
Together,Avril,2004,inside,aj,d,866.169,1701,0.54,84.509,886.4,Yes,stop,0
Together,Avril,2004,behind,aj,nd,742.94,1617.53,0.28,84.4803,831.2,Yes,nasal,0
Together,Avril,2004,lights,aj,t,975.341,1814.978,0.2,84.9137,91.07,Yes,stop,1
Together,Avril,2004,out,aw,t,842.91,1994,0.5,84.276,899,No,stop,1
Together,Avril,2004,eyes,aj,z,965.1,1797.36,0.55,84.69,874.2,No,fric,0
Together,Avril,2004,right,aj,t,1122,1935,0.28,86.33,532.6,Yes,stop,1
Together,Avril,2004,around,aw,nd,1265,2244,0.29,85.161,77.629,Yes,nasal,0
Together,Avril,2004,around,aw,nd,1074,2161,0.25,85.383,77.952,Yes,nasal,0
Fall To Pieces,Avril,2004,about,aw,t,896,1792,0.3,86.117,786,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,834,1895,0.32,86.04,574,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,1043,1759,0.24,86.157,123,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,924,1815,0.3,86.283,254,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,834,1795,0.29,85.6,90,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,770,1829,0.28,86.131,86,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,1014,1834,0.29,86.3,84,Yes,stop,1
Fall To Pieces,Avril,2004,about,aw,t,842,1827,0.29,85.91,85,Yes,stop,1
Freak Out,Avril,2004,hide,aj,d,1149,1997,0.4,85.909,78.306,Yes,stop,0
Freak Out,Avril,2004,compromise,aj,z,1118,2057,0.21,86.37,100,Yes,fric,0
Freak Out,Avril,2004,eyes,aj,z,1082,1989,1.19,86.57,120,No,fric,0
Freak Out,Avril,2004,inside,aj,d,1168,2157,0.34,86.184,102.25,Yes,stop,0
Freak Out,Avril,2004,alright,aj,t,982,1865.9,0.49,84.447,87.927,Yes,stop,1
Freak Out,Avril,2004,right,aj,t,1160,2111,0.3,82.645,97.109,Yes,stop,1
Freak Out,Avril,2004,fight,aj,t,1069,1721,0.37,84.5743,246,Yes,stop,1
Girlfriend,Avril,2007,fine,aj,n,873,1651,0.16,80.183,250.139,Yes,nasal,0
Girlfriend,Avril,2007,mine,aj,n,987,1681,0.15,79.57,146.179,Yes,nasal,0
Girlfriend,Avril,2007,about,aw,t,711,1861,0.1,84.129,978.2,Yes,stop,1
Girlfriend,Avril,2007,time,aj,n,845,1772,0.08,82.766,893.606,Yes,nasal,0
Girlfriend,Avril,2007,alright,aj,t,1167,1789,0.16,83.53,981.14,Yes,stop,1
Girlfriend,Avril,2007,like,aj,k,935,1792,0.29,84.015,832.208,Yes,stop,1
Girlfriend,Avril,2007,like,aj,k,984,1760,0.35,81.8983,282,Yes,stop,1
Girlfriend,Avril,2007,right,aj,t,970,1802,0.32,83.881,558,Yes,stop,1
Girlfriend,Avril,2007,like,aj,k,864,1832,0.07,86.769,557,Yes,stop,1
Girlfriend,Avril,2007,bout,aw,t,913,1990,0.23,84.155,109,Yes,stop,1
Girlfriend,Avril,2007,about,aw,t,816,1865,0.12,82.637,185.65,Yes,stop,1
Girlfriend,Avril,2007,bout,aw,t,1296,2333,0.22,84.26,214,No,stop,1
Runaway,Avril,2007,ground,aw,nd,822.34,1744,0.21,81.939,771.22,Yes,nasal,0
Runaway,Avril,2007,skies,aj,z,985,1835,0.3,82.1563,1052,Yes,fric,0
Runaway,Avril,2007,out,aw,t,1023,2149,0.19,82.77,755.853,No,stop,1
Runaway,Avril,2007,cloud,aw,d,1040,1996,0.33,83.291,998.3,Yes,stop,0
Runaway,Avril,2007,fight,aj,t,1144,1770,0.34,83.031,1122,Yes,stop,1
Hot,Avril,2007,around,aw,d,1119,2057,0.51,80.935,960.8,Yes,stop,0
Hot,Avril,2007,sound,aw,nd,877,1930,0.42,81.73,622.242,Yes,nasal,0
Hot,Avril,2007,loud,aw,d,1335,2099,0.49,82.096,308.77,Yes,stop,0
Contagious,Avril,2007,around,aw,nd,1000,1985,0.18,83.132,250.687,Yes,nasal,0
Contagious,Avril,2007,out,aw,t,1036,1971,0.47,81.46,87.338,No,stop,1
Contagious,Avril,2007,out,aw,t,945,2001,0.33,85.481,404.503,No,stop,1
Contagious,Avril,2007,outrageous,aw,t,904,1902,0.28,85,436,No,stop,1
Contagious,Avril,2007,right,aj,t,1205,1865,0.31,85.55,329,Yes,stop,1
Contagious,Avril,2007,right,aj,t,1037,1845,1.1,85.99,220,Yes,stop,1
What The Hell,Avril,2011,out,aw,t,994,1988,0.2,79.631,219.09,No,stop,1
What The Hell,Avril,2011,right,aj,t,974.46,1725,0.15,80.13,219.92,Yes,stop,1
What The Hell,Avril,2011,life,aj,f,978,1883,0.22,84.507,441.75,Yes,fric,1
What The Hell,Avril,2011,around,aw,nd,1140,2120,0.15,84.3,436.287,Yes,nasal,0
What The Hell,Avril,2011,about,aw,t,1021,1984,0.32,85.1455,670.288,Yes,stop,1
What The Hell,Avril,2011,life,aj,f,1109,1774,0.16,84.989,220,Yes,fric,1
What The Hell,Avril,2011,out,aw,t,1068,1879,0.16,81.813,507,No,stop,1
What The Hell,Avril,2011,around,aw,nd,930,1848,0.2,81.032,219,Yes,nasal,0
What The Hell,Avril,2011,time,aj,m,1026,1890,0.15,79.7,363,Yes,nasal,0
What The Hell,Avril,2011,life,aj,f,1085,1908,0.2,84.616,441.811,Yes,fric,1
What The Hell,Avril,2011,around,aw,nd,1173,2075,0.29,85.27,434.82,Yes,nasal,0
What The Hell,Avril,2011,about,aw,t,1059,2066,0.16,84.54,328.6992,Yes,stop,1
What The Hell,Avril,2011,life,aj,f,1023,1832,0.2,85.006,220,Yes,fric,1
What The Hell,Avril,2011,like,aj,k,1152,1922,0.15,80.111,582,Yes,stop,1
What The Hell,Avril,2011,life,aj,f,1184,1998,0.18,84.591,441.31,Yes,fric,1
What The Hell,Avril,2011,around,aw,nd,1137,2111,0.16,84.526,437,Yes,nasal,0
Push,Avril,2011,time,aj,m,763.649,1909,0.14,80.678,291,Yes,nasal,0
Push,Avril,2011,out,aw,t,1090,1768,0.28,80.19,116.79,No,stop,1
Push,Avril,2011,hike,aj,k,1126,1794,0.31,82.178,838,Yes,stop,1
Push,Avril,2011,out,aw,t,1174,1768,0.21,81.471,354.37,No,stop,1
4 Real,Avril,2011,eyes,aj,z,1280,2135,0.32,84.58,667.93,No,fric,0
4 Real,Avril,2011,side,aj,d,841,1961,0.18,83.58,1154,Yes,stop,0
4 Real,Avril,2011,side,aj,d,1039,2043,0.2,84.71,1009,Yes,stop,0
4 Real,Avril,2011,sound,aw,d,839,2026,0.82,84.826,636.797,Yes,stop,0
4 Real,Avril,2011,around,aw,nd,994,1898,2.02,84.93,1124,Yes,nasal,0
Bad Reputation,Avril,2011,bout,aw,t,986,1888,0.13,83.74,95.545,No,stop,1
Bad Reputation,Avril,2011,bout,aw,t,1124,1959,0.07,83.63,200.55,No,stop,1
Bad Reputation,Avril,2011,bout,aw,t,969,1850,0.11,82.675,187.59,No,stop,1
FPinkily Portrait,Pink,2002,sound,aw,nd,709,1680,0.31,83.046,990,Yes,nasal,0
FPinkily Portrait,Pink,2002,fight,aj,t,897,1669,0.27,76.36,369,Yes,stop,1
FPinkily Portrait,Pink,2002,bout,aw,t,986,1655,0.19,83.46,662,Yes,stop,1
FPinkily Portrait,Pink,2002,out,aw,t,869,1817,0.59,75.736,128,Yes,stop,1
FPinkily Portrait,Pink,2002,out,aw,t,981,1838,0.58,76.21,236,Yes,stop,1
FPinkily Portrait,Pink,2002,sound,aw,nd,800,1819,0.27,84.161,1035,Yes,nasal,0
FPinkily Portrait,Pink,2002,around,aw,nd,727,1572,0.31,82.78,635,Yes,nasal,0
FPinkily Portrait,Pink,2002,out,aw,t,1048,1829,1.22,83.74,780,Yes,stop,1
FPinkily Portrait,Pink,2002,out,aw,t,1038,1989,0.89,81.756,946,Yes,stop,1
FPinkily Portrait,Pink,2002,night,aj,t,1035,1770,0.25,82.21,457,Yes,stop,1
FPinkily Portrait,Pink,2002,right,aj,t,799,1774,0.57,70.15,166,Yes,stop,1
FPinkily Portrait,Pink,2002,night,aj,t,936,1817,0.46,69.95,209,Yes,stop,1
Dear Diary,Pink,2002,I've,aj,v,826,1755,0.14,82.76,806,No,fric,0
Dear Diary,Pink,2002,I've,aj,v,1047,1885,0.13,83.257,1006,No,fric,0
Dear Diary,Pink,2002,around,aw,nd,742,1720,0.27,83.41,974,Yes,nasal,0
Dear Diary,Pink,2002,I've,aj,v,636,1752,0.28,82.37,100,No,fric,0
Dear Diary,Pink,2002,I've,aj,v,940,2029,0.25,83.27,963,No,fric,0
Dear Diary,Pink,2002,I've,aj,v,660,1764,0.2,81.2,868,No,fric,0
Eventually,Pink,2002,loud,aw,d,740,1763,2.44,82.16,458,Yes,stop,0
Eventually,Pink,2002,without,aw,t,586,1737,0.28,83.59,217.61,Yes,stop,1
Eventually,Pink,2002,light,aj,t,748,1866,1,80.4,905,Yes,stop,1
Eventually,Pink,2002,life,aj,f,700,1778,0.54,82.3,458,Yes,fric,1
Eventually,Pink,2002,wine,aj,n,767,1675,1.16,84.53,396,Yes,nasal,0
Eventually,Pink,2002,twice,aj,s,770,1820,2.54,83.59,865,Yes,fric,1
Tonight's The Night,Pink,2004,tonight,aj,t,894,1990,0.25,83.809,132,Yes,stop,1
Tonight's The Night,Pink,2004,night,aj,t,878,1872,0.21,83.21,885,Yes,stop,1
